Unnamed: 0.1,Unnamed: 0,Spanish,English
0,0,que,that
1,1,de,of
2,2,no,No
3,3,a,a
4,4,la,the
5,5,el,the
6,6,es,it is
8,8,en,in
9,9,lo,it
10,10,un,a
11,11,por,by
12,12,qué,what
13,13,me,I
14,14,una,a
15,15,te,tea
16,16,los,the
17,17,se,I know
18,18,con,with
19,19,para,for
20,20,mi,me
21,21,está,this
22,22,si,Yes
23,23,bien,right
24,24,pero,but
25,25,yo,me
26,26,eso,it's
27,27,las,the
28,28,sí,Yes
29,29,su,its
30,30,tu,your
31,31,aquí,here
32,32,del,of
33,33,al,to the
34,34,como,What
35,35,le,you
37,37,esto,this
38,38,ya,Already
39,39,todo,all
40,40,esta,is
41,41,vamos,we go
42,42,muy,very
43,43,hay,there are
44,44,ahora,now
45,45,algo,something
46,46,estoy,am
47,47,tengo,I've got
48,48,nos,us
49,49,tú,your
50,50,nada,any
51,51,cuando,when
52,52,ha,he has
53,53,este,East
54,54,sé,HE
55,55,estás,are
56,56,así,So
57,57,puedo,Can I
58,58,cómo,What
59,59,quiero,I want
60,60,sólo,single
61,61,soy,am
62,62,tiene,have
63,63,gracias,Thank you
64,64,o,either
65,65,él,the
66,66,bueno,Okay
67,67,fue,it was
68,68,ser,be
69,69,hacer,do
70,70,son,are
71,71,todos,everybody
72,72,era,it was
73,73,eres,are
74,74,vez,time
75,75,tienes,you have
76,76,creo,I think
78,78,he,He
79,79,ese,that
80,80,voy,I go
81,81,puede,can
83,83,hola,hello
84,84,sus,their
85,85,porque,because
86,86,dios,god
87,87,quién,who
88,88,nunca,never
89,89,dónde,where
90,90,quieres,you want
91,91,casa,House
92,92,favor,favour
93,93,esa,this
94,94,dos,two
95,95,tan,so
96,96,señor,mister
97,97,tiempo,weather
98,98,verdad,TRUE
99,99,estaba,I was
100,100,mejor,better
101,101,están,is it so
102,102,va,goes
103,103,hombre,men
104,104,usted,you
105,105,mucho,much
106,106,hace,does
107,107,entonces,then
108,108,siento,I feel
109,109,tenemos,we have
110,110,puedes,you may
111,111,ahí,there
113,113,vida,life
114,114,ver,watch
115,115,alguien,someone
116,116,sr,Mr
117,117,hasta,until
118,119,mí,my
119,120,solo,only
120,121,años,years
121,122,sobre,on
122,123,decir,tell
123,124,uno,one
124,125,siempre,forever
125,126,oh,Oh
127,128,cosas,stuff
128,129,también,also
129,130,antes,before
130,131,has,you have
131,132,ni,neither
132,133,mis,my
133,134,día,day
134,135,estar,be
135,136,estamos,we're
136,137,noche,night
137,138,nadie,no one
138,139,otra,other
139,140,quiere,wants
140,141,parece,It seems
141,142,nosotros,us
142,143,poco,little bit
143,144,padre,dad
144,145,trabajo,worked
145,146,gente,people
146,147,mira,look
147,148,sea,be
148,149,les,them
149,150,donde,where
150,151,mismo,same
151,152,hecho,done
152,153,ellos,they
153,154,dijo,said
154,155,pasa,happens
155,156,dinero,money
156,157,hijo,son
157,158,tal,such
158,159,otro,other
159,160,hablar,speak
160,161,seguro,sure
161,162,claro,Sure
162,163,estas,these
163,164,lugar,place
164,165,mundo,world
165,166,amigo,dude
166,167,espera,wait
167,168,mierda,shit
168,169,han,they have
169,170,tus,your
170,171,sabe,knows
172,173,momento,moment
173,174,desde,since
174,175,fuera,outside
175,176,cosa,stuff
176,177,tipo,Type
177,178,mañana,morning
178,179,podemos,can
179,180,dije,said
180,181,gran,great
181,182,necesito,needed
182,183,estado,condition
183,184,podría,could
184,185,acuerdo,agreement
185,186,papá,father
186,187,tener,to have
187,188,dice,He says
188,189,mío,Own
189,190,crees,You believe
190,191,buena,good
191,192,gusta,like
192,193,nuestro,our
193,194,nuevo,new
194,195,será,will be
195,196,haciendo,making
196,197,días,days
197,198,nombre,Name
198,199,buen,good
199,200,había,there was
200,201,ven,come
201,202,tres,three
202,203,menos,less
203,204,debe,must
204,205,tenía,I had
205,206,mal,wrong
206,207,conmigo,with me
207,208,madre,mother
208,209,hoy,today
209,210,quien,who
210,211,sido,been
211,212,mamá,breast
212,213,tienen,have
213,214,luego,later
214,215,todas,all
215,216,allí,over there
216,217,toda,all
217,218,hora,hour
218,219,mujer,woman
219,220,visto,viewed
